impl,schedule,M,N,K,threads,time_sec,gflops,checksum,max_error
openmp,static1,1536,1536,1536,9,0.152875,47.410,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,10,0.136268,53.188,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,11,0.124083,58.411,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,12,0.115104,62.967,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,13,0.105722,68.555,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,14,0.104076,69.639,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,15,0.097953,73.992,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,16,0.090483,80.101,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,17,0.095983,75.511,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,18,0.082495,87.857,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,19,0.091644,79.086,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,20,0.075116,96.488,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,21,0.073805,98.202,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,22,0.078906,91.853,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,23,0.079392,91.291,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,24,0.079956,90.646,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,25,0.077540,93.471,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,26,0.073262,98.929,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,27,0.062450,116.057,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,28,0.066884,108.363,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,29,0.073535,98.562,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,30,0.075415,96.105,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,31,0.075644,95.814,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,32,0.075734,95.701,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,1,1.336079,5.425,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,2,0.668553,10.841,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,3,0.440708,16.446,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,4,0.333641,21.723,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,5,0.269588,26.885,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,6,0.222893,32.517,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,7,0.190970,37.952,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,8,0.169903,42.658,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,9,0.151226,47.927,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,10,0.136744,53.002,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,11,0.123688,58.597,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,12,0.113432,63.895,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,13,0.105470,68.718,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,14,0.098985,73.221,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,15,0.092141,78.659,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,16,0.087338,82.985,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,17,0.085280,84.988,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,18,0.078657,92.144,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,19,0.075246,96.320,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,20,0.073515,98.589,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,21,0.069951,103.612,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,22,0.066762,108.561,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,23,0.064030,113.193,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,24,0.061669,117.526,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,25,0.060007,120.782,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,26,0.058696,123.479,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,27,0.056883,127.415,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,28,0.055196,131.308,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,29,0.054368,133.310,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,30,0.053002,136.745,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,31,0.058132,124.678,9.0596836276e+08,-1.000e+00
openmp,dynamic1,1536,1536,1536,32,0.052508,138.031,9.0596836276e+08,-1.000e+00
openmp,default,2048,2048,2048,1,3.369354,5.099,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,2,1.693952,10.142,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,3,1.102743,15.579,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,4,0.856573,20.057,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,5,0.652387,26.334,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,6,0.553723,31.026,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,7,0.466232,36.848,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,8,0.426671,40.265,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,9,0.362349,47.412,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,10,0.337939,50.837,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,11,0.307411,55.886,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,12,0.279549,61.456,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,13,0.258134,66.554,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,14,0.246740,69.627,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,15,0.259587,66.182,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,16,0.216212,79.459,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,17,0.207884,82.642,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,18,0.214088,80.247,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,19,0.211634,81.177,2.1474844570e+09,-1.000e+00
openmp,default,2048,2048,2048,20,0.212716,80.764,2.1474844570e+09,-1.000e+00
